"PLOT_UNIQUE_ID","CYCLE","MEASYEAR","n_saplings","n_new_saplings","n_sapling_saplings","n_saplings_to_trees","n_saplings_died","n_saplings_removed","n_saplings_previous","prev_measyear","first_measyear","is_first_measyear","n_sapling_saplings_prop","n_saplings_to_trees_prop","n_saplings_died_prop","n_saplings_removed_prop"
"9_1_11_603",7,2018,1,0,1,0,0,0,1,2012,2008,FALSE,1,0,0,0
"9_1_11_621",6,2010,3,0,3,0,0,0,3,2005,2005,FALSE,1,0,0,0
"9_1_11_621",7,2014,3,0,3,0,0,0,3,2010,2005,FALSE,1,0,0,0
"9_1_11_621",8,2021,3,0,3,0,0,0,3,2014,2005,FALSE,1,0,0,0
"9_1_11_630",6,2012,4,2,2,0,0,0,2,2006,2006,FALSE,1,0,0,0
"9_1_11_630",7,2016,2,0,2,0,2,0,4,2012,2006,FALSE,0.5,0,0.5,0
"9_1_11_654",6,2008,0,0,0,0,0,0,3,2003,2003,FALSE,0,0,0,0
"9_1_11_654",7,2013,2,2,0,0,0,0,0,2008,2003,FALSE,NA,NA,NA,NA
"9_1_11_654",8,2020,4,3,1,0,1,0,2,2013,2003,FALSE,0.5,0,0.5,0
"9_1_11_662",6,2008,5,1,4,0,4,0,8,2003,2003,FALSE,0.5,0,0.5,0
"9_1_11_662",7,2013,5,1,4,0,1,0,5,2008,2003,FALSE,0.8,0,0.2,0
"9_1_11_662",8,2020,4,0,4,0,1,0,5,2013,2003,FALSE,0.8,0,0.2,0
"9_1_11_665",6,2012,5,0,5,0,2,0,7,2006,2006,FALSE,0.714285714285714,0,0.285714285714286,0
"9_1_11_665",7,2018,0,0,0,0,0,0,5,2012,2006,FALSE,0,0,0,0
"9_1_11_67",7,2019,12,4,8,0,0,0,8,2012,2012,FALSE,1,0,0,0
"9_1_11_672",7,2018,1,0,1,0,0,0,1,2012,2012,FALSE,1,0,0,0
"9_1_11_693",6,2009,2,0,2,0,1,0,3,2003,2003,FALSE,0.666666666666667,0,0.333333333333333,0
"9_1_11_693",7,2014,0,0,0,0,2,0,2,2009,2003,FALSE,0,0,1,0
"9_1_11_693",8,2019,13,13,0,0,0,0,0,2014,2003,FALSE,NA,NA,NA,NA
"9_1_11_696",6,2011,7,0,7,0,3,0,10,2008,2008,FALSE,0.7,0,0.3,0
"9_1_11_696",7,2018,3,0,3,2,2,0,7,2011,2008,FALSE,0.428571428571429,0.285714285714286,0.285714285714286,0
"9_1_11_715",7,2018,3,0,3,0,0,0,3,2012,2012,FALSE,1,0,0,0
"9_1_11_8",6,2009,3,0,3,0,1,0,4,2004,2004,FALSE,0.75,0,0.25,0
"9_1_11_8",7,2014,2,0,2,1,0,0,3,2009,2004,FALSE,0.666666666666667,0.333333333333333,0,0
"9_1_11_8",8,2021,1,0,1,0,1,0,2,2014,2004,FALSE,0.5,0,0.5,0
"9_1_11_95",6,2013,4,0,4,0,1,0,5,2008,2008,FALSE,0.8,0,0.2,0
"9_1_11_95",7,2018,4,0,4,0,0,0,4,2013,2008,FALSE,1,0,0,0
"9_1_13_109",6,2010,14,0,14,0,1,0,15,2005,2005,FALSE,0.933333333333333,0,0.0666666666666667,0
"9_1_13_109",7,2014,15,1,14,0,0,0,14,2010,2005,FALSE,1,0,0,0
"9_1_13_109",8,2021,12,1,11,2,2,0,15,2014,2005,FALSE,0.733333333333333,0.133333333333333,0.133333333333333,0
"9_1_13_114",6,2011,1,0,1,0,0,0,1,2008,2008,FALSE,1,0,0,0
"9_1_13_114",7,2017,1,0,1,0,0,0,1,2011,2008,FALSE,1,0,0,0
"9_1_13_138",6,2010,1,0,1,0,0,0,1,2004,2004,FALSE,1,0,0,0
"9_1_13_138",7,2014,1,0,1,0,0,0,1,2010,2004,FALSE,1,0,0,0
"9_1_13_138",8,2021,1,0,1,0,0,0,1,2014,2004,FALSE,1,0,0,0
